address,born_chain,born_time,,value
0x653267cf7c5b556cc17706af47f931d8d83651ec,born_chain： eth,born_time： 2022-06-23 18：01：46,usd,1573.751877
0x482b44a6333ab8234dca901fdf2772d82aaab152,born_chain： eth,born_time： 2022-06-23 18：00：51,usd,1618.164896
0x4904806524d46c7308b5e3327aee8b4f15091c53,born_chain： eth,born_time： 2022-06-23 17：51：34,usd,1549.597245
0x1870ac126d86166dcf1b3fa5082c2219d19af38b,born_chain： eth,born_time： 2022-06-23 17：50：28,usd,1612.695921
0x6bf0cacc520768f766b86ca7e54bcbfc8b2df8c1,born_chain： eth,born_time： 2022-06-23 17：41：04,usd,1633.977182
0x467a6b10830fc493313eb0591d48fc34e50ab042,born_chain： eth,born_time： 2022-06-23 17：39：05,usd,1543.812844
0x1657ff0e179a3ff67ddbeac66aaeb90ae63a02fd,born_chain： eth,born_time： 2022-06-23 17：35：29,usd,1562.464687
0x4f5660f55f917a8b81a1f6d489e078fb83a4c7aa,born_chain： eth,born_time： 2022-06-23 07：44：37,usd,1562.728292
0x6b6b6319f0110ec4a54924d8b039bc85f69a884a,born_chain： eth,born_time： 2022-06-23 07：40：04,usd,1597.574125
0x02f560563368042ae4eebed3164454067ce2875b,born_chain： eth,born_time： 2022-06-23 07：33：59,usd,1642.452696
0x28d91aca88e92098c6a96bcf8f193c87fc14da3e,born_chain： eth,born_time： 2022-06-23 04：39：14,usd,1519.935343
0x43961e2e769b5ebb6c1a635222d0a7feecf58428,born_chain： eth,born_time： 2022-06-23 04：27：43,usd,1547.108711
0x64ab40862860cb632e1cab04bb1853cec15ec65d,born_chain： eth,born_time： 2022-06-23 04：12：19,usd,1595.106488
0x542de39cc2b6041ab9bfc3f02e2b5d962a87a0e6,born_chain： eth,born_time： 2022-06-23 03：59：15,usd,1606.278487
0x12bd043922fcb69697b897ef7078af6fef8b0e65,born_chain： eth,born_time： 2022-06-23 03：58：58,usd,1573.627351
0x462c9da4c2f5d5e212a67a82ef7300a73713d84e,born_chain： eth,born_time： 2022-06-23 03：46：49,usd,1578.476606
0x73359b16e16a9396d73f78859839cb00d373d330,born_chain： eth,born_time： 2022-06-23 03：44：53,usd,1616.008622
0x11663c6e5cf8b94c5a6d84817f9a83b3ee547011,born_chain： eth,born_time： 2022-06-23 03：34：58,usd,1553.93565
0x1e80c663dab0e12927a2168c6d034b6d07911397,born_chain： eth,born_time： 2022-06-23 03：34：06,usd,1632.209117
0x6287d9fb174fc336b967b2ca4961a35945f38b22,born_chain： eth,born_time： 2022-06-23 03：20：09,usd,1645.955202
0x4b8476f3c67044d4572d224fa555dadaa938072b,born_chain： eth,born_time： 2022-06-23 03：14：49,usd,1586.129863
0x51db246478e47f2fef9c6d1c4b9507ff44f26cba,born_chain： eth,born_time： 2022-06-23 03：12：55,usd,1638.090444
0x81eb1878dca4009b1e1bf7ae303dc09e363ddd64,born_chain： eth,born_time： 2022-06-23 03：11：00,usd,1570.337406
0x2e45a74751313ca833d1e10c6f4ce1dcc53e5388,born_chain： eth,born_time： 2022-06-23 03：11：00,usd,1558.478428
0x70fbf0b6cac447fdf0f6811b123e42907d46e296,born_chain： eth,born_time： 2022-06-23 02：55：27,usd,1568.331432
0x0115314df1ea198f11c5b12f4bec8d9b6c48ceea,born_chain： eth,born_time： 2022-06-23 02：51：40,usd,1564.92027
0x743bd27b17f97499b76f6713722ab951d3356601,born_chain： eth,born_time： 2022-06-23 02：45：35,usd,1573.759117
0x3803da0fc8e86c520689d85fccb1a747cf46c7ee,born_chain： eth,born_time： 2022-06-23 02：39：07,usd,1582.990916
0x7588d2ec3cb4633f1303738fcef2149deb8782e8,born_chain： eth,born_time： 2022-06-23 02：36：54,usd,1647.398206
0x55060e7585cbbf51a3fb0fa41ef808c3567b9c88,born_chain： eth,born_time： 2022-06-23 02：36：25,usd,1558.801966
0x4268a29eeed511ef53a975cb5fc7eb67453bba62,born_chain： eth,born_time： 2022-06-23 00：41：24,usd,1583.130908
0x566f8dbd5aaaca660c6130099939d58e52986b38,born_chain： eth,born_time： 2022-06-23 00：16：49,usd,1619.290696
0x53cbeac72448fd2d8f9d98dc1e1aec17068f5e5d,born_chain： eth,born_time： 2022-06-23 00：10：02,usd,1560.26845
0x1cbdd5b86eec562d8808e9f9a7ed98ed91646ed0,born_chain： eth,born_time： 2022-06-23 00：05：35,usd,1599.492081
0x474e21fb33ab6d72a30623740ec06eaa8a99a84b,born_chain： eth,born_time： 2022-06-23 00：02：06,usd,1605.455616
0x5da61ac255598151221955badf0884061d4f230b,born_chain： eth,born_time： 2022-06-22 23：56：02,usd,1585.5012
0x696479a35955819d6df2fa621af74bcaa2560037,born_chain： eth,born_time： 2022-06-22 23：38：19,usd,1592.87225
0x06b36951635943d574ed555cd3dbba8ed2f4c80c,born_chain： eth,born_time： 2022-06-22 23：33：21,usd,1632.101242
0x4cec0cff1dfbef492fda7e9ad601d77e796c78e7,born_chain： eth,born_time： 2022-06-22 23：27：00,usd,1590.495463
0x0ff68828e6df820cee83e3d8b9f631108aedff5f,born_chain： eth,born_time： 2022-06-22 23：22：57,usd,1581.605971
0x5fa1dab04fc0c804bbedc36085202e93230d4bb2,born_chain： eth,born_time： 2022-06-22 23：20：23,usd,1614.839469
0x431db1d3ee4366d2c025c74f444d76715aa99f16,born_chain： eth,born_time： 2022-06-22 23：14：48,usd,1572.331357
0x6ea8ba2842a9a530ec2637b7005131f02c2d3704,born_chain： eth,born_time： 2022-06-22 22：53：00,usd,1563.069159
0x4e161d2d70df5886c1b72d1ceff9c3d104033542,born_chain： eth,born_time： 2022-06-22 22：51：54,usd,1555.062179
0x78042c4f5158501f9ddbae6aa41fc9b0bee99726,born_chain： eth,born_time： 2022-06-22 22：48：51,usd,1589.645962
0x06b8efddbdde270de667445a3843ab0e4cb4bc0f,born_chain： eth,born_time： 2022-06-22 22：43：01,usd,1572.243347
0x5eafa789ac908b1e028ad6bb32c37228b6292b7f,born_chain： eth,born_time： 2022-06-22 22：36：24,usd,1558.320651
0x4c7099636face9a64cf6e0943d093e94758c7124,born_chain： eth,born_time： 2022-06-22 22：33：44,usd,1575.050559
0x37523deeda0c632721079a1f278a7fe33a114209,born_chain： eth,born_time： 2022-06-22 22：32：38,usd,1623.047189
0x403bd20e025fce1d99a1a37cfd7dc275dcb1219e,born_chain： eth,born_time： 2022-06-22 22：27：58,usd,1622.726095
0x7b6269b92fe4cec39cf17fbbb217ba8d0e7401e8,born_chain： eth,born_time： 2022-06-22 22：20：53,usd,1612.77822
0x55b31cc6457ade15acbefc16735ca0cb6ae4066b,born_chain： eth,born_time： 2022-06-22 22：15：35,usd,1582.637639
0x0f81126a802b9028b729a95dac7286d7a44a8ed7,born_chain： eth,born_time： 2022-06-22 22：06：29,usd,1640.780199
0x71261577ab50810dfc7c1978406bd464cd67e9fc,born_chain： eth,born_time： 2022-06-22 22：06：29,usd,1632.64752
0x867dd2b374be749f8bad62a313489094fd85cbe3,born_chain： eth,born_time： 2022-06-22 21：52：31,usd,1636.540294
0x33d5efe7a98f69556b5c8e8f9d1a1c725f780735,born_chain： eth,born_time： 2022-06-22 21：32：51,usd,1643.834195
0x26157898409b4a30734a7d70237be64f73d4901c,born_chain： eth,born_time： 2022-06-22 21：18：48,usd,1635.162168
0x45cfe268f30ffbd0597e7459f8eb238ea62daa0f,born_chain： eth,born_time： 2022-06-22 21：17：57,usd,1630.257391
0x21ae900395b920fac42d990c2db61ba2a5231fbf,born_chain： eth,born_time： 2022-06-22 21：15：45,usd,1595.436541
0x5453128d3047711423fb7fe4acb3f63d21f1b42b,born_chain： eth,born_time： 2022-06-22 21：08：57,usd,1544.439825
0x31db5faf213ce22ceb0b6a8d73cf532358f7850d,born_chain： eth,born_time： 2022-06-22 21：03：33,usd,1586.940212
0x57721caa6050ce71911c1306b360eb5a4e716187,born_chain： eth,born_time： 2022-06-22 20：57：22,usd,1591.25549
0x67981577e848bf52e208413e0a228a5997337a18,born_chain： eth,born_time： 2022-06-22 20：55：01,usd,1588.4814
0x3365f71394b43a16250455e0f45d608a07928834,born_chain： eth,born_time： 2022-06-22 20：46：23,usd,1586.959356
0x2dfc5a4cc7253f5f168473dbfed49f771b7a4e73,born_chain： eth,born_time： 2022-06-22 20：45：35,usd,1624.348348
0x52955de0ceca71df4d586966012975a672b67ef1,born_chain： eth,born_time： 2022-06-22 20：31：13,usd,1622.439011
0x260fa7a4074de04f32ce917020dd134f6f243093,born_chain： eth,born_time： 2022-06-22 20：27：46,usd,1566.188939
0x001c6029ecaae464b5198c8b52ff20874f2cfb4b,born_chain： eth,born_time： 2022-06-22 20：26：18,usd,1617.663284
0x7b19aba9e9f7b740a6f43b1f823b3be5621ca1bc,born_chain： eth,born_time： 2022-06-22 20：22：42,usd,1613.261779
0x2b2ff1fa2bf7723976546794f885e05b9e6d1450,born_chain： eth,born_time： 2022-06-22 20：21：20,usd,1591.311271
0x0e0c30fc0050171d5ed3feceed44636fecc9c529,born_chain： eth,born_time： 2022-06-22 20：18：52,usd,1524.458481
0x6d43c162bfc242a6f276a191cd47c019b15aea85,born_chain： eth,born_time： 2022-06-22 20：16：13,usd,1583.594763
0x0cc1286aa26e9aa5e14c141faf62f26ce0b812f8,born_chain： eth,born_time： 2022-06-22 20：05：32,usd,1627.626739
0x446151168b17bf774513531f694e75c1432c9fa2,born_chain： eth,born_time： 2022-06-23 18：00：33,usd,1858.548174
0x20bb6c0f22c0d15c883d0722f7833d54b3d79a53,born_chain： eth,born_time： 2022-06-26 17：33：59,usd,1671.13278
0x13ca270b999187f17de2cb03a11c7cd001d690cc,born_chain： eth,born_time： 2022-06-26 16：53：10,usd,1659.085861
0x157edc0be39d63a2d4921f2b143cb849188e9d94,born_chain： eth,born_time： 2022-06-26 17：21：58,usd,1658.164104
0x85dafb19752c62ebc1bca86028b3e7671dc0539f,born_chain： eth,born_time： 2022-06-26 17：17：47,usd,1677.086309
0x004ac850b7b334c61deba32fbd8c593d442402f2,born_chain： eth,born_time： 2022-06-26 17：15：22,usd,1654.710158
0x231fe80bf2fe742b361c69ff004da03d58ea37e8,born_chain： eth,born_time： 2022-06-26 17：06：06,usd,1661.248411
0x08f7d4ece1c3f2041130b70ec86f55ddd15c4e03,born_chain： eth,born_time： 2022-06-26 17：04：41,usd,1696.359817
0x56699344f00f3b9755e7f91edbbbf4af1e50d0b4,born_chain： eth,born_time： 2022-06-26 16：49：53,usd,1662.781158
0x166dd23cb36bed857409b3e5cadd2a6fe5211cbc,born_chain： eth,born_time： 2022-06-26 16：06：15,usd,1654.908289
0x4eb40cc0b65347e55274095b387d8baf9c0bee82,born_chain： eth,born_time： 2022-06-26 15：59：15,usd,1694.776158
0x705cd309bbde629f349123f7770b65a7fca10746,born_chain： eth,born_time： 2022-06-26 15：57：03,usd,1700.146646
0x6804ddb9068277123419a901ef0ba0cbc863915c,born_chain： eth,born_time： 2022-06-26 15：51：12,usd,1673.667293
0x7d9b56e563fe0ea38db7a4ebbbaf50733b100c1e,born_chain： eth,born_time： 2022-06-26 15：49：28,usd,1657.527061
0x1fc3de4ae5d75eba3c77c83858a6b0c66951292a,born_chain： eth,born_time： 2022-06-26 15：48：41,usd,1672.027835
0x2b17ed6c2758eb30c97633da8ee247e00fa04e6f,born_chain： eth,born_time： 2022-06-26 03：18：07,usd,1678.864798
0x0b14bb69255d3a48e6effc9c371cfad4e73d351a,born_chain： eth,born_time： 2022-06-26 03：17：10,usd,1664.778951
0x335884895a0e0d1fe687daabde00a8446938abce,born_chain： eth,born_time： 2022-06-26 01：02：40,usd,1665.326995
0x0762dd831c1d45abd5543b35040dc6c5eb45342a,born_chain： eth,born_time： 2022-06-26 00：44：01,usd,1689.859873
0x088a502e57d3ad31e23383992824abef29b7c23b,born_chain： eth,born_time： 2022-06-25 19：59：39,usd,1654.354264
0x3fba55db408231b8d662f9298363aff1477c97a8,born_chain： eth,born_time： 2022-06-25 19：58：59,usd,1687.269654
0x05c361752d01901353a0222f1c8b70274362e70a,born_chain： eth,born_time： 2022-06-25 19：20：47,usd,1673.973677
0x6e8d8b5ad8887fbf8dffb87fb125ff68c50e0576,born_chain： eth,born_time： 2022-06-25 19：18：59,usd,1670.180626
0x751e266cc28487b818f47faead0dfa3c2fd9af79,born_chain： eth,born_time： 2022-06-25 19：16：34,usd,1693.628766
0x437b778c8e3af19804c15581fabb7bf2156e2b78,born_chain： eth,born_time： 2022-06-25 18：58：17,usd,1669.854047
0x7fd1f2f38ab98279be184958219b0fd383c40aa3,born_chain： eth,born_time： 2022-06-25 18：04：10,usd,1674.726289
0x33bdc2fd135cc3e3fce7b5b48fdc82adc63ffb3b,born_chain： eth,born_time： 2022-06-25 17：50：45,usd,1666.721952
0x0dae1e90f54b0e0d9ff9c2ad7a0ea2f35e2b10a6,born_chain： eth,born_time： 2022-06-25 17：33：49,usd,1695.985171
